title,director,genre,rating,year,comments
Baahubali: The Beginning,S.S. Rajamouli,Action/Drama/Fantasy,8.5,2015,"Epic historical drama with stunning visuals and powerful performances"
RRR,S.S. Rajamouli,Action/Drama,8.2,2022,"Revolutionary story with spectacular action sequences and emotional depth"
Pushpa: The Rise,Sukumar,Action/Crime,7.8,2021,"Gritty crime drama with Allu Arjun's outstanding performance"
Ala Vaikunthapurramuloo,Trivikram Srinivas,Action/Comedy/Drama,7.9,2020,"Entertaining family drama with great music and comedy"
Sita Ramam,Hanu Raghavapudi,Romance/Drama,8.3,2022,"Beautiful love story with exceptional cinematography"
Jersey,Gowtam Tinnanuri,Sports/Drama,8.1,2019,"Heartwarming sports drama with Nani's brilliant performance"
Eega,S.S. Rajamouli,Fantasy/Action,7.7,2012,"Innovative revenge story with amazing visual effects"
Arjun Reddy,Sandeep Reddy Vanga,Romance/Drama,7.6,2017,"Intense love story with Vijay Deverakonda's breakthrough performance"
KGF: Chapter 1,Prashanth Neel,Action/Crime,8.0,2018,"Powerful action drama with Rocky's rise to power"
Sye Raa Narasimha Reddy,Surender Reddy,Action/Drama,7.5,2019,"Historical biopic with Chiranjeevi's powerful performance"
Khaleja,Trivikram Srinivas,Action/Comedy,7.4,2010,"Entertaining action comedy with Mahesh Babu"
Magadheera,S.S. Rajamouli,Action/Fantasy/Romance,7.8,2009,"Reincarnation story with stunning visuals"
Rangasthalam,Sukumar,Drama,8.4,2018,"Rural drama with Ram Charan's outstanding performance"
Mahanati,Nag Ashwin,Biography/Drama,8.6,2018,"Biographical drama about legendary actress Savitri"
Aravinda Sametha Veera Raghava,Trivikram Srinivas,Action/Drama,7.7,2018,"Political drama with Jr NTR's powerful performance"
Bharat Ane Nenu,Koratala Siva,Action/Drama,7.6,2018,"Political drama with Mahesh Babu's strong performance"
Uppena,Buchi Babu Sana,Romance/Drama,7.3,2021,"Love story with beautiful cinematography"
Vakeel Saab,Venu Sriram,Crime/Drama,7.5,2021,"Legal drama with Pawan Kalyan's comeback"
Sarileru Neekevvaru,Anil Ravipudi,Action/Comedy,7.2,2020,"Entertaining action comedy with Mahesh Babu"
Baahubali 2: The Conclusion,S.S. Rajamouli,Action/Drama/Fantasy,8.7,2017,"Grand conclusion to the epic saga with spectacular visuals"
Dasara,Srikanth Odela,Action/Drama,7.4,2023,"Raw and rustic action drama set in a coal mine backdrop"
Waltair Veerayya,K.S. Ravindra,Action/Drama,7.1,2023,"Mass entertainer with Chiranjeevi in a powerful role"
Ante Sundaraniki,Vivek Athreya,Romance/Comedy,7.9,2022,"Fresh romantic comedy with unique storytelling"
